id,year,state_abr,county_name,place_name,population_est,crime_type,crime_count,annualized_rate_per_100k,source_desc
3502000,2020,NM,Bernalillo County,Albuquerque,562467,Fatal Shootings,77,13.69,GVA
1714000,2020,IL,"Cook County, DuPage County",Chicago,2678220,Murder,780,29.12,AVorg yearly count
602000,2020,CA,Orange County,Anaheim,353690,Fatal Shootings,13,3.68,GVA
4260000,2020,PA,Philadelphia County,Philadelphia,1578735,Murder,469,29.71,AVorg yearly count
3651000,2020,NY,"Bronx County, Kings County, New York County, Queens County, Richmond County",New York,8256951,Murder,459,5.56,AVorg yearly count
203000,2020,AK,Anchorage Municipality,Anchorage,287166,Fatal Shootings,13,4.53,GVA
4804000,2020,TX,Tarrant County,Arlington,398867,Fatal Shootings,27,6.77,GVA
4835000,2020,TX,"Fort Bend County, Harris County, Montgomery County",Houston,2316103,Murder,400,17.27,AVorg yearly count
644000,2020,CA,Los Angeles County,Los Angeles,3970747,Murder,346,8.71,AVorg yearly count
1304000,2020,GA,"DeKalb County, Fulton County",Atlanta,512331,Fatal Shootings,149,29.08,GVA
804000,2020,CO,"Adams County, Arapahoe County, Douglas County",Aurora,387304,Fatal Shootings,37,9.55,GVA
2404000,2020,MD,Baltimore city,Baltimore,586484,Murder,333,56.78,AVorg yearly count
2622000,2020,MI,Wayne County,Detroit,665580,Murder,299,44.92,AVorg yearly count
4805000,2020,TX,"Hays County, Travis County, Williamson County",Austin,994787,Fatal Shootings,35,3.52,GVA
4748000,2020,TN,Shelby County,Memphis,649759,Murder,275,42.32,AVorg yearly count
603526,2020,CA,Kern County,Bakersfield,385598,Fatal Shootings,53,13.74,GVA
2965000,2020,MO,St. Louis city,St. Louis,297780,Murder,264,88.66,AVorg yearly count
2404000,2020,MD,Baltimore city,Baltimore,586484,Fatal Shootings,299,50.98,GVA
4819000,2020,TX,"Collin County, Dallas County, Denton County, Kaufman County, Rockwall County",Dallas,1343263,Murder,236,17.57,FBI UCR yearly count
2205000,2020,LA,East Baton Rouge Parish,Baton Rouge,219124,Fatal Shootings,109,49.74,GVA
1836003,2020,IN,Marion County,Indianapolis,877811,Murder,216,24.61,FBI UCR yearly count
107000,2020,AL,"Jefferson County, Shelby County",Birmingham,207031,Fatal Shootings,117,56.51,GVA
455000,2020,AZ,Maricopa County,Phoenix,1707078,Murder,196,11.48,AVorg yearly count
2507000,2020,MA,Suffolk County,Boston,691662,Fatal Shootings,56,8.1,GVA
1150000,2020,DC,District of Columbia,Washington,712626,Murder,192,26.94,AVorg yearly count
3611000,2020,NY,Erie County,Buffalo,254514,Fatal Shootings,41,16.11,GVA
5553000,2020,WI,"Milwaukee County, Washington County, Waukesha County",Milwaukee,589146,Murder,190,32.25,AVorg yearly count
412000,2020,AZ,Maricopa County,Chandler,265222,Fatal Shootings,10,3.77,GVA
3712000,2020,NC,Mecklenburg County,Charlotte,899832,Fatal Shootings,114,12.67,GVA
2255000,2020,LA,Orleans Parish,New Orleans,389547,Murder,178,45.69,AVorg yearly count
3918000,2020,OH,"Delaware County, Fairfield County, Franklin County",Columbus,903688,Murder,174,19.25,FBI UCR yearly count
5116000,2020,VA,Chesapeake city,Chesapeake,246944,Fatal Shootings,16,6.48,GVA
3916000,2020,OH,Cuyahoga County,Cleveland,378706,Murder,160,42.25,FBI UCR yearly count
1714000,2020,IL,"Cook County, DuPage County",Chicago,2678220,Fatal Shootings,724,27.03,GVA
2148006,2020,KY,Jefferson County,Louisville/Jefferson County,618344,Murder,160,25.88,AVorg yearly count
613392,2020,CA,San Diego County,Chula Vista,272890,Fatal Shootings,5,1.83,GVA
2938000,2020,MO,"Cass County, Clay County, Jackson County, Platte County",Kansas City,497123,Murder,156,31.38,AVorg yearly count
3915000,2020,OH,Hamilton County,Cincinnati,304544,Fatal Shootings,97,31.85,GVA
3916000,2020,OH,Cuyahoga County,Cleveland,378706,Fatal Shootings,166,43.83,GVA
1304000,2020,GA,"DeKalb County, Fulton County",Atlanta,512331,Murder,154,30.06,AVorg yearly count
816000,2020,CO,El Paso County,Colorado Springs,481960,Fatal Shootings,30,6.22,GVA
1235000,2020,FL,Duval County,Jacksonville,920276,Murder,141,15.32,AVorg yearly count
3918000,2020,OH,"Delaware County, Fairfield County, Franklin County",Columbus,903688,Fatal Shootings,152,16.82,GVA
4865000,2020,TX,"Bexar County, Comal County, Medina County",San Antonio,1566290,Murder,128,8.17,AVorg yearly count
4817000,2020,TX,"Aransas County, Kleberg County, Nueces County, San Patricio County",Corpus Christi,327220,Fatal Shootings,33,10.08,GVA
3712000,2020,NC,Mecklenburg County,Charlotte,899832,Murder,119,13.22,FBI UCR yearly count
4819000,2020,TX,"Collin County, Dallas County, Denton County, Kaufman County, Rockwall County",Dallas,1343263,Fatal Shootings,219,16.3,GVA
4752006,2020,TN,Davidson County,Nashville-Davidson,671230,Murder,117,17.43,AVorg yearly count
820000,2020,CO,Denver County,Denver,735120,Fatal Shootings,69,9.39,GVA
107000,2020,AL,"Jefferson County, Shelby County",Birmingham,207031,Murder,113,54.58,AVorg yearly count
2622000,2020,MI,Wayne County,Detroit,665580,Fatal Shootings,257,38.61,GVA
4827000,2020,TX,"Denton County, Parker County, Tarrant County, Wise County",Fort Worth,926919,Murder,110,11.87,FBI UCR yearly count
2205000,2020,LA,East Baton Rouge Parish,Baton Rouge,219124,Murder,102,46.55,FBI UCR yearly count
3719000,2020,NC,"Durham County, Orange County, Wake County",Durham,285695,Fatal Shootings,35,12.25,GVA
4824000,2020,TX,El Paso County,El Paso,681472,Fatal Shootings,13,1.91,GVA
3240000,2020,NV,Clark County,Las Vegas,662018,Murder,96,14.5,FBI UCR yearly count
1825000,2020,IN,Allen County,Fort Wayne,272306,Fatal Shootings,39,14.32,GVA
653000,2020,CA,Alameda County,Oakland,424801,Murder,96,22.6,AVorg yearly count
4827000,2020,TX,"Denton County, Parker County, Tarrant County, Wise County",Fort Worth,926919,Fatal Shootings,90,9.71,GVA
3915000,2020,OH,Hamilton County,Cincinnati,304544,Murder,88,28.9,AVorg yearly count
626000,2020,CA,Alameda County,Fremont,234601,Fatal Shootings,2,0.85,GVA
820000,2020,CO,Denver County,Denver,735120,Murder,85,11.56,AVorg yearly count
627000,2020,CA,Fresno County,Fresno,530230,Fatal Shootings,79,14.9,GVA
3502000,2020,NM,Bernalillo County,Albuquerque,562467,Murder,80,14.22,FBI UCR yearly count
